Mouse,Strain,Genotype,OFT - Total Distance moved (cm),OFT - Mean Velocity (cm/s),OFT - Frequency Border Zone,OFT - Total Time in Border Zone (sec),OFT - Latency to First Enter Border Zone (sec),OFT - Frequency Corner Zone,OFT - Total Time in Corner Zone (sec),OFT - Latency to First Enter Corner Zone (sec),OFT - Frequency Center Field,OFT - Total Time in Center Field (sec),OFT - Latency to First Enter Center Field (sec),OFT - Total Time Moving (sec),OFT - Total Time Not Moving (sec),OFT - Circling Clockwise Body Axis Rotations,OFT -Circling Counter Clockwise Body Axis Rotation,OFT - total Body Axis Rotation ,OFT - Frequency of Rearing,OFT - Total Time of Rearing (sec),OFT - Time per Rearing (sec),OFT - Latency to First Rearing (sec),OFT - Frequency Grooming,OFT - Total Time Grooming (sec),OFT - Latency to first Grooming (sec),OFT - Frequency Jumping,EPM - Total Distance Moved (cm),EPM - Mean Velocity (cm/s),EPM - Frequency of Moving,EPM - Total Time Moving (s),EPM - Frequency of Not Moving,EPM - Total Time Not Moving (s),EPM - Closed Arm Entries,EPM - Total Time in Closed Arms (s),EPM - Latency to First Enter Closed Arm (sec),EPM - Open Arm Entries,EPM - Total Time in Open Arms (s),EPM - Latency to First Enter Open Arm (s),EPM - Center Field Entries,EPM - Total Time in Center Field (s),EPM - Latency to First Enter Center Field (s),EPM - Slipping
15,Nex-Cre,NEX-Cre-hom,3352.19,11.174,91,125.76,1.52,62,152.12,0,29,22.16,7.8,237.28,62.72,6,13,19,38,34.72,0.913684211,22.92,0,0,0,0,1689.32,5.63105,316,191.72,316,108.28,15,133.28,30.2,14,122.88,0,28,43.88,0.44,4
16,Nex-Cre,NEX-Cre-hom,3261.67,10.8722,93,143.32,0.2,50,105.64,6.84,44,51.08,0,240.04,59.96,2,14,16,22,13.32,0.605454545,78.04,0,0,0,0,2170.34,7.23832,372,220.52,370,79.44,24,151.76,63,20,89.56,0,41,58.4,30.68,7
17,Nex-Cre,NEX-Cre-hom,3958.99,13.1966,116,165.16,1.52,59,83.12,0,58,51.76,9.32,233.2,66.8,48,1,49,16,13.84,865,51.68,0,0,0,0,1556.61,5.18869,412,216.04,412,83.96,27,137.64,21.28,21,73.12,0,47,89.28,1.16,8
18,Nex-Cre,NEX-Cre-hom,2518.68,8.39561,63,102.96,0.16,52,183.16,0,13,13.92,14.36,198.36,101.64,3,8,11,25,30.36,1.2144,37.72,1,6.64,293.36,0,1311.71,4.37528,482,181.56,480,118.36,9,64.64,101.64,13,205.44,0,20,29.64,44.32,15
19,Nex-Cre,NEX-Cre-hom,2560.08,8.53359,66,136.08,0,52,149.92,1.16,14,14.04,0.48,207.2,92.8,4,5,9,17,22.8,1.341176471,92.36,0,0,0,0,1413.34,4.71115,394,182.92,394,117.08,22,207.16,6.88,14,18.72,0,35,74.16,1.12,2
20,Nex-Cre,NEX-Cre-hom,1880.09,6.3706,45,117.28,6.28,36,168.28,6.76,9,8.2,6.4,183.28,111.96,0,8,8,16,27.92,1.745,39.04,0,0,0,0,1858.23,6.1941,423,207.2,422,92.8,26,105.2,37.68,35,99.6,0.08,61,95.24,0,6
21,Nex-Cre,NEX-Cre-hom,2063.55,6.87852,47,112.68,3.28,34,165.4,21.12,14,21.96,0,216.08,83.92,4,2,6,26,29.24,1.124615385,33.96,0,0,0,0,1553.32,5.17773,373,211.04,372,88.96,9,40.12,1.04,19,224.08,0,27,35.84,0.08,5
22,Nex-Cre,NEX-Cre-hom,2270.36,7.56785,67,110,0,36,140.2,3,30,49.84,0.44,216.48,83.52,9,1,10,26,18.32,0.704615385,31,1,1.4,262.44,0,1379.9,4.59967,468,194.96,469,105.04,10,100.04,57.08,19,165.08,0,28,34.92,51.08,7
23,Nex-Cre,NEX-Cre-hom,2832.9,9.44301,71,98.36,0,51,182.76,0.08,19,18.92,35.88,221.12,78.88,13,1,14,22,18.76,0.852727273,27.08,1,7.4,169.44,0,1314.89,4.38297,476,202.2,475,97.8,26,100.68,16.04,21,51.24,0,47,148.12,13.88,4
24,Nex-Cre,NEX-Cre-hom,2312.75,7.70916,56,92.2,18.64,46,200.08,0,11,7.76,56.36,206.12,93.88,4,2,6,32,45.44,1.42,61.44,0,0,0,0,2296.01,7.65335,319,227.68,319,72.32,16,99.44,60.72,20,170.84,0.16,36,29.76,0,9
